标题,日期,阅读次数,正文
习近平的“扶贫”牵挂,2014/10/23,290,习近平的“扶贫”牵挂
宁夏召开固原工作及生态移民工作会议,2014/10/21,58,宁夏召开固原工作及生态移民工作会议
吉林省委书记巴音朝鲁在全国首个“扶贫日”期间到松原市调研指导扶贫开发工作,2014/10/20,349,吉林省委书记巴音朝鲁在全国首个“扶贫日”期间到松原市调研指导扶贫开发工作
扶贫日倡议书,2014/10/20,1133,扶贫日倡议书
重庆市召开社会扶贫工作座谈会暨首个“扶贫日”捐赠仪式,2014/10/20,380,重庆市召开社会扶贫工作座谈会暨首个“扶贫日”捐赠仪式
刘永富主任出席全国工商联2014年扶贫日主题活动,2014/10/20,202,刘永富主任出席全国工商联2014年扶贫日主题活动
欧青平副主任出席工业和信息化部“10？17”扶贫日活动与苗圩部长共同见证...,2014/10/18,200,欧青平副主任出席工业和信息化部“10？17”扶贫日活动与苗圩部长共同见证12317扶贫监督电话开通
【新闻联播】赵文强：大瑶山里的扶贫带头人,2014/10/19,172,【新闻联播】赵文强：大瑶山里的扶贫带头人
刘永富：继续向贫困宣战,2014/10/18,331,刘永富：继续向贫困宣战
习近平在首个“扶贫日”之际作出重要批示强调全党全社会继续共同努力形成扶贫...,2014/10/18,314,习近平在首个“扶贫日”之际作出重要批示强调全党全社会继续共同努力形成扶贫开发工作强大合力李克强作出批示
扶贫日教育部倡导结对子不鼓励中小学搞捐赠,2014/10/17,315,扶贫日教育部倡导结对子不鼓励中小学搞捐赠
农业部：首个扶贫日召开扶贫工作经验交流座谈会,2014/10/17,63,农业部：首个扶贫日召开扶贫工作经验交流座谈会
刘永富主任参加全国工商联首个扶贫日捐赠签约仪式,2014/10/17,267,刘永富主任参加全国工商联首个扶贫日捐赠签约仪式
10？17扶贫日倡议书：邀您一起扶贫济困,2014/10/17,394,10？17扶贫日倡议书：邀您一起扶贫济困
湖北省人民政府省长王国生:创新扶贫机制增强内生动力,2014/10/17,260,湖北省人民政府省长王国生:创新扶贫机制增强内生动力
习近平:扶贫开发工作要善于因地制宜注重精准发力,2014/10/17,487,习近平:扶贫开发工作要善于因地制宜注重精准发力
习近平的“扶贫观”：因地制宜“真扶贫，扶真贫”,2014/10/17,739,习近平的“扶贫观”：因地制宜“真扶贫，扶真贫”
扶贫日特辑：习近平与贫困地区百姓在一起,2014/10/17,302,扶贫日特辑：习近平与贫困地区百姓在一起
中华人民共和国交通运输部：筑好小康路共圆致富梦——写在我国首个扶贫日之...,2014/10/17,164,中华人民共和国交通运输部：筑好小康路共圆致富梦——写在我国首个扶贫日之际-2014年10月新闻
半月谈：精准化扶贫难题待解：真贫困？“争贫困”？,2014/10/17,386,半月谈：精准化扶贫难题待解：真贫困？“争贫困”？
中国发展门户网：10·17中国“扶贫日”专题,2014/10/17,191,中国发展门户网：10·17中国“扶贫日”专题
湖北省委书记李鸿忠：打好扶贫攻坚战共圆幸福小康梦——写在首个全国“扶贫...,2014/10/17,296,湖北省委书记李鸿忠：打好扶贫攻坚战共圆幸福小康梦——写在首个全国“扶贫日”
[新闻联播]精准扶贫让近1亿人加速脱贫,2014/10/17,192,[新闻联播]精准扶贫让近1亿人加速脱贫
江苏省委书记罗志军：咬定目标不动摇坚决打赢脱贫奔小康工程攻坚战,2014/10/16,194,江苏省委书记罗志军：咬定目标不动摇坚决打赢脱贫奔小康工程攻坚战
国务院扶贫办和中国农业银行签署金融扶贫合作协议,2014/10/16,2014-10-16,国务院扶贫办和中国农业银行签署金融扶贫合作协议
"首届""10·17""论坛扶贫开发与全面小康",2014/10/16,49,"首届""10·17""论坛扶贫开发与全面小康"
国务院扶贫办召开青年干部座谈会畅谈扶贫日,2014/10/16,317,国务院扶贫办召开青年干部座谈会畅谈扶贫日
人民日报：国务院扶贫办正研究贫困县退出机制,2014/10/15,202,人民日报：国务院扶贫办正研究贫困县退出机制
新华网：还有哪些“硬骨头”？——中国扶贫三问,2014/10/15,733,新华网：还有哪些“硬骨头”？——中国扶贫三问
新华网扶贫日专题：国家首次设立“扶贫日”邀您一起来扶贫,2014/10/15,37,新华网扶贫日专题：国家首次设立“扶贫日”邀您一起来扶贫
交通运输部综合规划司巡视员于胜英为创新扶贫开发机制扎实推进扶贫工作专题研...,2014/10/15,157,交通运输部综合规划司巡视员于胜英为创新扶贫开发机制扎实推进扶贫工作专题研究班授课
新华网：扶贫办设立“扶贫日”是向贫困宣战一个重要举措,2014/10/15,322,新华网：扶贫办设立“扶贫日”是向贫困宣战一个重要举措
福建师范大学教授李方祥为创新扶贫开发机制扎实推进扶贫工作专题研究班授课,2014/10/15,34,福建师范大学教授李方祥为创新扶贫开发机制扎实推进扶贫工作专题研究班授课
中国青年网：全国扶贫办通过全社会广泛参与扶贫平台激发社会潜力,2014/10/15,249,中国青年网：全国扶贫办通过全社会广泛参与扶贫平台激发社会潜力
水利部移民局局长唐传利为创新扶贫开发机制扎实推进扶贫工作专题研究班授课,2014/10/15,29,水利部移民局局长唐传利为创新扶贫开发机制扎实推进扶贫工作专题研究班授课
住房城乡建设部村镇建设司司长赵晖为创新扶贫开发机制扎实推进扶贫工作专题研...,2014/10/15,218,住房城乡建设部村镇建设司司长赵晖为创新扶贫开发机制扎实推进扶贫工作专题研究班授课
刘永富主任出席创新扶贫开发机制扎实推进扶贫工作专题研究班结业式,2014/10/15,149,刘永富主任出席创新扶贫开发机制扎实推进扶贫工作专题研究班结业式
【新闻联播】：我国确定每年10月17日为扶贫日,2014/10/15,412,【新闻联播】：我国确定每年10月17日为扶贫日
中国人民银行副行长刘士余为创新扶贫开发机制扎实推进扶贫工作专题研究班授课,2014/10/15,155,中国人民银行副行长刘士余为创新扶贫开发机制扎实推进扶贫工作专题研究班授课
国务院扶贫办主任刘永富为创新扶贫开发机制扎实推进扶贫工作专题研究班授课,2014/10/15,222,国务院扶贫办主任刘永富为创新扶贫开发机制扎实推进扶贫工作专题研究班授课
改革开放以来累计减贫2.5亿人,2014/10/15,237,改革开放以来累计减贫2.5亿人
教育部副部长鲁昕为创新扶贫开发机制扎实推进扶贫工作专题研究班授课,2014/10/15,173,教育部副部长鲁昕为创新扶贫开发机制扎实推进扶贫工作专题研究班授课
国家发展改革委副秘书长范恒山为创新扶贫开发机制扎实推进扶贫工作专题研究班...,2014/10/15,22,国家发展改革委副秘书长范恒山为创新扶贫开发机制扎实推进扶贫工作专题研究班授课
扶贫日新闻发布会在京召开,2014/10/14,41,扶贫日新闻发布会在京召开
中国网：扶贫办今年开始设立每年10月17日为“扶贫日”,2014/10/14,1424,中国网：扶贫办今年开始设立每年10月17日为“扶贫日”
国新办举行扶贫日和社会扶贫工作情况发布会,2014/10/14,2014-10-14,国新办举行扶贫日和社会扶贫工作情况发布会
共青团中央制定青少年开展扶贫日活动方案,2014/10/14,33,共青团中央制定青少年开展扶贫日活动方案
内蒙古自治区部署2014年“扶贫日”活动,2014/10/14,27,内蒙古自治区部署2014年“扶贫日”活动
山西省安排首个全国“扶贫日”活动,2014/10/13,37,山西省安排首个全国“扶贫日”活动
国务院扶贫办召开党组中心组学习研讨会,2014/10/11,35,国务院扶贫办召开党组中心组学习研讨会
青海省“扶贫日”捐款活动拉开序幕省级领导和省委各部委干部带头踊跃参加,2014/10/11,35,青海省“扶贫日”捐款活动拉开序幕省级领导和省委各部委干部带头踊跃参加
国务院扶贫办召开干部大会传达学习习近平总书记重要讲话精神,2014/10/10,171,国务院扶贫办召开干部大会传达学习习近平总书记重要讲话精神
国务院扶贫开发领导小组关于表彰全国社会扶贫先进集体和先进个人的决定,2014/10/10,955,国务院扶贫开发领导小组关于表彰全国社会扶贫先进集体和先进个人的决定
湖北日报：10·17，邀您一起来扶贫,2014/10/10,42,湖北日报：10·17，邀您一起来扶贫
扶贫日活动办公室召开第一次全体会议,2014/10/09,277,扶贫日活动办公室召开第一次全体会议
黑龙江吕维峰副省长到大兴安岭南麓特困片区和贫困县调研扶贫开发工作,2014/10/08,147,黑龙江吕维峰副省长到大兴安岭南麓特困片区和贫困县调研扶贫开发工作
中央国家机关工委副书记俞贵麟同志赴临城县考察定点扶贫工作,2014/09/30,160,中央国家机关工委副书记俞贵麟同志赴临城县考察定点扶贫工作
云南省副省长张祖林到省扶贫办调研,2014/09/30,225,云南省副省长张祖林到省扶贫办调研
欧青平出席全国扶贫开发建档立卡工作督查总结交流会,2014/09/30,193,欧青平出席全国扶贫开发建档立卡工作督查总结交流会
安徽省委常委组织部长邓向阳在太湖县调研扶贫开发工作,2014/09/30,155,安徽省委常委组织部长邓向阳在太湖县调研扶贫开发工作
国务院扶贫办召开扶贫日宣传新闻媒体通气会,2014/09/29,478,国务院扶贫办召开扶贫日宣传新闻媒体通气会
让民族地区贫困群众早日过上更好的生活--汪洋在宁夏考察调研纪行,2014/09/25,184,让民族地区贫困群众早日过上更好的生活--汪洋在宁夏考察调研纪行
吉林省代省长蒋超良到西部连片特困地区调研扶贫开发工作,2014/09/25,45,吉林省代省长蒋超良到西部连片特困地区调研扶贫开发工作
全国政协民宗委赴贵州毕节调研乌蒙山片区扶贫规划实施情况,2014/09/24,213,全国政协民宗委赴贵州毕节调研乌蒙山片区扶贫规划实施情况
汪洋在宁夏考察调研：切实落实扶贫措施和工作责任,2014/09/24,194,汪洋在宁夏考察调研：切实落实扶贫措施和工作责任
创新扶贫开发机制扎实推进扶贫工作专题研究班在国家行政学院举办,2014/09/23,192,创新扶贫开发机制扎实推进扶贫工作专题研究班在国家行政学院举办
国务院扶贫办召开办系统副处级以上干部会议传达学习习总书记讲话和中央有关文...,2014/09/22,233,国务院扶贫办召开办系统副处级以上干部会议传达学习习总书记讲话和中央有关文件精神
全国工商联扶贫工作:发挥智库效应拓宽辐射半径,2014/09/19,196,全国工商联扶贫工作:发挥智库效应拓宽辐射半径
国务院扶贫办和万达集团联合调研黔南州扶贫开发工作,2014/09/19,315,国务院扶贫办和万达集团联合调研黔南州扶贫开发工作
国务院扶贫办召开全国扶贫开发建档立卡工作督查培训会,2014/09/17,317,国务院扶贫办召开全国扶贫开发建档立卡工作督查培训会
国务院扶贫办:培育精准扶贫三大品牌,2014/09/16,96,国务院扶贫办:培育精准扶贫三大品牌
中央财政拨专项彩票公益金支持革命老区扶贫开发,2014/09/10,167,中央财政拨专项彩票公益金支持革命老区扶贫开发
李鸿忠要求组织开展好“扶贫日”系列活动构建湖北扶贫开发工作新格局,2014/09/10,183,李鸿忠要求组织开展好“扶贫日”系列活动构建湖北扶贫开发工作新格局
郑文凯副主任出席全国工商联扶贫工作委员会第二次会议,2014/09/10,192,郑文凯副主任出席全国工商联扶贫工作委员会第二次会议
甘肃省努力构建金融扶贫新模式,2014/09/09,238,甘肃省努力构建金融扶贫新模式
西海固，正在发生改变,2014/09/09,194,西海固，正在发生改变
贵州全力推进“扶贫日”各项工作,2014/09/09,153,贵州全力推进“扶贫日”各项工作
全国工商联赴通辽考察沙地水稻扶贫项目,2014/09/05,204,全国工商联赴通辽考察沙地水稻扶贫项目
刘永富主任会见民建中央副主席辜胜阻,2014/09/05,164,刘永富主任会见民建中央副主席辜胜阻
守住发展和生态“两条底线”的贵州实践——贵州实施扶贫生态移民工程观察,2014/09/04,297,守住发展和生态“两条底线”的贵州实践——贵州实施扶贫生态移民工程观察
农行金融扶贫普惠西藏农牧民,2014/09/04,188,农行金融扶贫普惠西藏农牧民
国务院扶贫办副主任：中国城镇化不是为了GDP,2014/09/03,144,国务院扶贫办副主任：中国城镇化不是为了GDP
刘永富主任会见中央宣传部办公厅主任常勃一行,2014/09/03,2612,刘永富主任会见中央宣传部办公厅主任常勃一行
结合稳增长建小康促改革坚定不移走精准扶贫之路,2014/09/03,200,结合稳增长建小康促改革坚定不移走精准扶贫之路
国务院扶贫办规划财务司获中央国家机关第二届“创建文明机关争做人民满意公...,2014/09/02,311,国务院扶贫办规划财务司获中央国家机关第二届“创建文明机关争做人民满意公务员”先进集体称号
四省藏区扶贫金融服务会议召开加大贫困地区投放,2014/09/02,222,四省藏区扶贫金融服务会议召开加大贫困地区投放
央行强调金融扶贫要积极创新,2014/09/02,189,央行强调金融扶贫要积极创新
刘永富主任出席2014年中国低碳发展战略高级别研讨会,2014/09/02,189,刘永富主任出席2014年中国低碳发展战略高级别研讨会
刘永富主任在“2014年中国低碳发展战略高级别研讨会”上的致辞,2014/09/02,201,刘永富主任在“2014年中国低碳发展战略高级别研讨会”上的致辞
国务院扶贫办研究部署全国首个“扶贫日”系列活动,2014/09/01,242,国务院扶贫办研究部署全国首个“扶贫日”系列活动
刘永富主任到中国扶贫开发协会考察工作,2014/08/29,185,刘永富主任到中国扶贫开发协会考察工作
郑文凯出席深入学习习近平总书记系列重要讲话暨《摆脱贫困》理论研讨会,2014/08/29,278,郑文凯出席深入学习习近平总书记系列重要讲话暨《摆脱贫困》理论研讨会
刘永富主任会见江苏省委常委、副省长徐鸣一行,2014/08/23,201,刘永富主任会见江苏省委常委、副省长徐鸣一行
中国对口援藏助力西藏“五位一体”大扶贫格局,2014/08/20,525,中国对口援藏助力西藏“五位一体”大扶贫格局
陈昌智：以扶贫济困为重点拓展慈善事业服务领域,2014/08/19,238,陈昌智：以扶贫济困为重点拓展慈善事业服务领域
重庆市政协召开对口帮扶云阳县工作会议,2014/08/12,254,重庆市政协召开对口帮扶云阳县工作会议
《云南省农村扶贫开发条例》新闻发布会在昆明举行,2014/08/12,172,《云南省农村扶贫开发条例》新闻发布会在昆明举行
积极作为汇聚力量云南省扶贫办第一时间动员部署支援鲁甸地震灾区抗震救灾...,2014/08/12,229,积极作为汇聚力量云南省扶贫办第一时间动员部署支援鲁甸地震灾区抗震救灾工作
刘永富主任出席第八届中国-东盟社会发展与减贫论坛并访问缅甸,2014/08/12,135,刘永富主任出席第八届中国-东盟社会发展与减贫论坛并访问缅甸
刘永富主任访问老挝并会见老挝总理,2014/08/12,169,刘永富主任访问老挝并会见老挝总理
中国扶贫基金会举办救援发布会恒大为震区捐千万,2014/08/08,154,中国扶贫基金会举办救援发布会恒大为震区捐千万
精准扶贫新思路：找准扶贫对象扶贫方式要创新,2014/08/08,528,精准扶贫新思路：找准扶贫对象扶贫方式要创新
国务院扶贫办启动云南鲁甸地震救灾应急响应,2014/08/05,175,国务院扶贫办启动云南鲁甸地震救灾应急响应
扶贫政策措施落实情况第三方评估座谈会在京召开,2014/08/01,2014-08-01,扶贫政策措施落实情况第三方评估座谈会在京召开
汪洋主持召开国务院扶贫开发领导小组第三次全体会议,2014/08/01,228,汪洋主持召开国务院扶贫开发领导小组第三次全体会议
1000万贫困人口怎么减,2014/07/29,268,1000万贫困人口怎么减
财政部新一轮定点扶贫工作顺利启动,2014/07/29,149,财政部新一轮定点扶贫工作顺利启动
宁夏明确扶贫开发重点县（区）扶贫开发领导小组组长由党政一把手担任,2014/07/29,511,宁夏明确扶贫开发重点县（区）扶贫开发领导小组组长由党政一把手担任
第二次中国扶贫开发理论与政策研究前沿问题论坛暨社会扶贫系列研究中期研讨会...,2014/07/29,176,第二次中国扶贫开发理论与政策研究前沿问题论坛暨社会扶贫系列研究中期研讨会在京召开
国家发改委专项稽察组稽察六盘山片区易地扶贫搬迁工程,2014/07/28,50,国家发改委专项稽察组稽察六盘山片区易地扶贫搬迁工程
汪洋在青海考察调研时强调：加强生态保护发展特色产业,2014/07/28,160,汪洋在青海考察调研时强调：加强生态保护发展特色产业
武陵山片区区域发展与扶贫攻坚试点联系工作领导小组全体会议在恩施召开,2014/07/25,317,武陵山片区区域发展与扶贫攻坚试点联系工作领导小组全体会议在恩施召开
质检总局副局长：发挥质检系统优势做好定点扶贫工作,2014/07/25,175,质检总局副局长：发挥质检系统优势做好定点扶贫工作
农业部为连片特困区遴选331个品种191项技术,2014/07/25,235,农业部为连片特困区遴选331个品种191项技术
全国社会扶贫表彰工作评审会在京召开,2014/07/25,198,全国社会扶贫表彰工作评审会在京召开
辜胜阻：农村扶贫要提高精准性和有效性,2014/07/23,278,辜胜阻：农村扶贫要提高精准性和有效性
国务院扶贫办党组学习贯彻习近平总书记在中央政治局第十六次集体学习时重要讲...,2014/07/23,140,国务院扶贫办党组学习贯彻习近平总书记在中央政治局第十六次集体学习时重要讲话精神
国务院第四督查组赴国务院扶贫办进行督查,2014/07/22,468,国务院第四督查组赴国务院扶贫办进行督查
人民日报话说新农村：扶贫“抓大”不能“放小”,2014/07/21,182,人民日报话说新农村：扶贫“抓大”不能“放小”
去年扶贫资金审计查出问题全部整改到位,2014/07/18,188,去年扶贫资金审计查出问题全部整改到位
国务院扶贫办：扶贫资金审计查出问题全部整改到位,2014/07/18,208,国务院扶贫办：扶贫资金审计查出问题全部整改到位
扶贫资金审计问题全部整改到位,2014/07/18,300,扶贫资金审计问题全部整改到位
刘永富主任赴贵州省毕节市调研扶贫开发工作,2014/07/18,523,刘永富主任赴贵州省毕节市调研扶贫开发工作
今年可望减贫1000万人,2014/07/17,200,今年可望减贫1000万人
全国扶贫办主任座谈会在贵州召开,2014/07/17,291,全国扶贫办主任座谈会在贵州召开
中和农信：扶贫小贷须打破业务模式可实现多样化发展,2014/07/17,331,中和农信：扶贫小贷须打破业务模式可实现多样化发展
精准扶贫，给残疾人扶贫带来机遇,2014/07/17,527,精准扶贫，给残疾人扶贫带来机遇
工信部扶贫办组织召开2014年燕山-太行山片区扶贫项目评审会,2014/07/17,174,工信部扶贫办组织召开2014年燕山-太行山片区扶贫项目评审会
陈敏尔会见国务院扶贫办主任刘永富一行,2014/07/16,205,陈敏尔会见国务院扶贫办主任刘永富一行
抓紧完善农村扶贫开发法草案,2014/07/15,288,抓紧完善农村扶贫开发法草案
国务院扶贫办督查组在广元市利州区调研,2014/07/15,214,国务院扶贫办督查组在广元市利州区调研
国务院扶贫办主任刘永富率队到江口县调研,2014/07/15,256,国务院扶贫办主任刘永富率队到江口县调研
21省份完成贫困户贫困村识别,2014/07/15,368,21省份完成贫困户贫困村识别
刘永富主任调研贵州省小额扶贫信贷工作,2014/07/15,317,刘永富主任调研贵州省小额扶贫信贷工作
吉林省省长巴音朝鲁到国家扶贫开发工作重点县汪清县调研,2014/07/11,286,吉林省省长巴音朝鲁到国家扶贫开发工作重点县汪清县调研
水利部印发关于推进贫困地区水利人才队伍建设的指导意见,2014/07/11,421,水利部印发关于推进贫困地区水利人才队伍建设的指导意见
WTO赞中国推动经济发展：扶贫成就举世无双,2014/07/11,43,WTO赞中国推动经济发展：扶贫成就举世无双
40万干部驻村精准扶贫,2014/07/11,313,40万干部驻村精准扶贫
国务院扶贫办召开25号文件调研督查情况新闻通气会,2014/07/10,230,国务院扶贫办召开25号文件调研督查情况新闻通气会
国家能源局赴甘肃省调研协调推进扶贫开发项目,2014/07/09,205,国家能源局赴甘肃省调研协调推进扶贫开发项目
印度贫困人口增1亿新贫困标准引发争议,2014/07/09,580,印度贫困人口增1亿新贫困标准引发争议
德报：千年发展目标报告称“全球贫困人口减半”仰仗中国,2014/07/09,249,德报：千年发展目标报告称“全球贫困人口减半”仰仗中国
精准扶贫须建立村级分权制度,2014/07/08,275,精准扶贫须建立村级分权制度
蒋晓华出席大兴安岭南麓片区区域发展与扶贫攻坚工作座谈会,2014/07/07,233,蒋晓华出席大兴安岭南麓片区区域发展与扶贫攻坚工作座谈会
国务院扶贫办司树杰一行深入内蒙古贫困旗县考察调研,2014/07/07,535,国务院扶贫办司树杰一行深入内蒙古贫困旗县考察调研
全国农村基层党组织助残扶贫经验交流暨农村残疾人扶贫开发工作会议在山东泰安...,2014/07/07,276,全国农村基层党组织助残扶贫经验交流暨农村残疾人扶贫开发工作会议在山东泰安召开
农村残疾人扶贫对象要全部建档立卡,2014/07/07,254,农村残疾人扶贫对象要全部建档立卡
河北贯彻落实习近平总书记指示精神推进扶贫开发工作,2014/07/03,288,河北贯彻落实习近平总书记指示精神推进扶贫开发工作
国务院扶贫办开展纪念“七？一”主题党日活动,2014/07/02,141,国务院扶贫办开展纪念“七？一”主题党日活动
王玺玉副省长强调全面落实“1236”扶贫攻坚行动各项任务,2014/07/02,161,王玺玉副省长强调全面落实“1236”扶贫攻坚行动各项任务
央行：坚持市场化原则用真情做好金融扶贫工作,2014/07/02,226,央行：坚持市场化原则用真情做好金融扶贫工作
中央财政引导加大对特定弱势群体的金融服务力度,2014/07/02,250,中央财政引导加大对特定弱势群体的金融服务力度
郑文凯副主任出席残障与发展论坛,2014/07/01,150,郑文凯副主任出席残障与发展论坛
大兴安岭南麓片区农村贫困人口减少三分之一,2014/06/30,211,大兴安岭南麓片区农村贫困人口减少三分之一
金融支持连片特困地区探析,2014/06/30,176,金融支持连片特困地区探析
扶贫济困四周年硕果累累,2014/06/27,296,扶贫济困四周年硕果累累
刘永富主任参加全国工商联、国务院扶贫办扶贫联席工作会议,2014/06/27,227,刘永富主任参加全国工商联、国务院扶贫办扶贫联席工作会议
国务院扶贫办易地扶贫搬迁调研座谈会在南昌召开,2014/06/26,207,国务院扶贫办易地扶贫搬迁调研座谈会在南昌召开
中国最大生态移民扶贫开发区打造“东方波尔多”,2014/06/26,199,中国最大生态移民扶贫开发区打造“东方波尔多”
刘伟平：落实各项惠民政策确保完成全年目标任务,2014/06/25,220,刘伟平：落实各项惠民政策确保完成全年目标任务
农垦扶贫目标有望提前完成,2014/06/24,199,农垦扶贫目标有望提前完成
回顾中央对新疆关怀和支持的一项重大扶贫工程,2014/06/24,786,回顾中央对新疆关怀和支持的一项重大扶贫工程
国务院扶贫办第二调研督查组赴福建开展实地调研督查,2014/06/23,235,国务院扶贫办第二调研督查组赴福建开展实地调研督查
国务院扶贫办调研督查组在湖北开展调研督查,2014/06/23,235,国务院扶贫办调研督查组在湖北开展调研督查
驻村帮扶的意义和作用（观察者说）,2014/06/23,714,驻村帮扶的意义和作用（观察者说）
倾心竭力打好扶贫开发攻坚战（零距离）,2014/06/23,218,倾心竭力打好扶贫开发攻坚战（零距离）
为精准扶贫建好“管道”（问对）,2014/06/23,206,为精准扶贫建好“管道”（问对）
广西壮族自治区主席深入都安三只羊乡等地调研,2014/06/20,253,广西壮族自治区主席深入都安三只羊乡等地调研
试验区成立26年，从“一煤独大”到“满树繁花”乌蒙崛起新毕节,2014/06/20,246,试验区成立26年，从“一煤独大”到“满树繁花”乌蒙崛起新毕节
毕节之变——披上绿毯子拔掉穷根子,2014/06/20,134,毕节之变——披上绿毯子拔掉穷根子
李克强：我们解决了6亿人的贫困问题,2014/06/19,273,李克强：我们解决了6亿人的贫困问题
多党合作扶贫开发的样本——记助推贫困地区发展的“毕节经验”,2014/06/19,284,多党合作扶贫开发的样本——记助推贫困地区发展的“毕节经验”
危朝安：创新机制体制推进扶贫开发政策落实,2014/06/19,133,危朝安：创新机制体制推进扶贫开发政策落实
刘远坤副省长与国务院扶贫办调研督查组进行座谈,2014/06/18,165,刘远坤副省长与国务院扶贫办调研督查组进行座谈
彭清华:打造特色产业推进扶贫开发,2014/06/16,188,彭清华:打造特色产业推进扶贫开发
【深度解读】六盘山片区扶贫拟建金融联动机制,2014/06/16,223,【深度解读】六盘山片区扶贫拟建金融联动机制
人民网：关于推进农村扶贫开发政策措施落实情况的调查,2014/06/16,33,人民网：关于推进农村扶贫开发政策措施落实情况的调查
交通扶贫因地制宜西部发展迸发活力,2014/06/16,182,交通扶贫因地制宜西部发展迸发活力
刘永富主任会见云南省李纪恒省长一行,2014/06/16,30,刘永富主任会见云南省李纪恒省长一行
国务院扶贫办到保定市进行调研督查,2014/06/13,214,国务院扶贫办到保定市进行调研督查
国务院扶贫办赴内蒙古农村牧区调研督查,2014/06/13,265,国务院扶贫办赴内蒙古农村牧区调研督查
国扶办调研督查甘肃贯彻落实中办25号文件座谈会在兰召开,2014/06/12,514,国扶办调研督查甘肃贯彻落实中办25号文件座谈会在兰召开
政府给补贴，让我住新房（蹲点·沉下去，观察中国）,2014/06/12,218,政府给补贴，让我住新房（蹲点·沉下去，观察中国）
用深度扶贫理念激活致富梦想,2014/06/12,264,用深度扶贫理念激活致富梦想
国务院扶贫办：我国将改革贫困县管理机制,2014/06/12,272,国务院扶贫办：我国将改革贫困县管理机制
郑文凯在汉中调研扶贫工作,2014/06/11,34,郑文凯在汉中调研扶贫工作
贫困地区产业发展基金有限公司成立注册资本金28亿元人民币,2014/06/11,651,贫困地区产业发展基金有限公司成立注册资本金28亿元人民币
国务院扶贫办第一督查调研组调研宁夏扶贫开发,2014/06/11,217,国务院扶贫办第一督查调研组调研宁夏扶贫开发
广西：创新工作方式和机制实施更科学精准有效扶贫,2014/06/10,249,广西：创新工作方式和机制实施更科学精准有效扶贫
发改委:增强扶贫针对性有效性至关重要,2014/06/10,326,发改委:增强扶贫针对性有效性至关重要
国务院扶贫办党组传达学习习近平总书记指导兰考县委常委班子专题民主生活会时...,2014/06/09,195,国务院扶贫办党组传达学习习近平总书记指导兰考县委常委班子专题民主生活会时的重要讲话精神
贵州省委书记谈啃深改“硬骨头”,2014/06/09,359,贵州省委书记谈啃深改“硬骨头”
国开行履行社会责任支持扶贫开发取得积极成效,2014/06/05,249,国开行履行社会责任支持扶贫开发取得积极成效
扶贫解困普惠民生邮储银行积极开展金融扶贫开发,2014/06/05,41,扶贫解困普惠民生邮储银行积极开展金融扶贫开发
发改委：将下大力气抓好新疆就业、教育、扶贫等重点工作,2014/06/05,186,发改委：将下大力气抓好新疆就业、教育、扶贫等重点工作
吉林省委常委会讨论通过实施特困群体救助工程等意见,2014/06/05,19,吉林省委常委会讨论通过实施特困群体救助工程等意见
国务院扶贫办召开调研督查动员培训会,2014/06/05,230,国务院扶贫办召开调研督查动员培训会
新疆各族干部群众热议第二次中央新疆工作座谈会,2014/06/04,210,新疆各族干部群众热议第二次中央新疆工作座谈会
完善金融服务机制促进贫困地区持续健康发展,2014/06/04,264,完善金融服务机制促进贫困地区持续健康发展
帮助贫困地区青年实现创业致富梦想,2014/06/04,326,帮助贫困地区青年实现创业致富梦想
实施扶贫开发政策与财政金融政策有机结合,2014/06/04,201,实施扶贫开发政策与财政金融政策有机结合
全国东西扶贫协作交流培训班在宁夏银川举办,2014/05/30,74,全国东西扶贫协作交流培训班在宁夏银川举办
国土资源部扶贫开发工作重在行动贵在实效,2014/05/27,242,国土资源部扶贫开发工作重在行动贵在实效
国扶办主任刘永富在甘肃秦安为贫困村大学生村官作讲座,2014/05/27,248,国扶办主任刘永富在甘肃秦安为贫困村大学生村官作讲座
中国扶贫开发协会第十期贫困村大学生村官培训班天水开班,2014/05/27,78,中国扶贫开发协会第十期贫困村大学生村官培训班天水开班
2013年中国人权事业的进展（全文）,2014/05/26,293,2013年中国人权事业的进展（全文）
中央媒体聚焦福鼎市磻溪镇赤溪村人民日报配发短评,2014/05/26,246,中央媒体聚焦福鼎市磻溪镇赤溪村人民日报配发短评
关于印发刘永富、王国良同志在全国扶贫宣传工作座谈会上讲话的通知,2014/05/26,1126,关于印发刘永富、王国良同志在全国扶贫宣传工作座谈会上讲话的通知
白皮书：2013年中国农村共有1650万人脱贫,2014/05/26,254,白皮书：2013年中国农村共有1650万人脱贫
两部门推进滇桂黔石漠化片区区域发展与扶贫攻坚工作,2014/05/21,239,两部门推进滇桂黔石漠化片区区域发展与扶贫攻坚工作
人民日报点评：以人为本，才有“准星”,2014/05/21,220,人民日报点评：以人为本，才有“准星”
刘永富到田东县调研农村金融扶贫工作,2014/05/20,229,刘永富到田东县调研农村金融扶贫工作
国务院扶贫办与国家开发银行签署《开发性金融扶贫合作协议》,2014/05/17,64,国务院扶贫办与国家开发银行签署《开发性金融扶贫合作协议》
是党的人，也是农民自家人---追记山西省垣曲县原扶贫办主任柳本星,2014/05/15,664,是党的人，也是农民自家人---追记山西省垣曲县原扶贫办主任柳本星
